start_id,end_id,relation,end_time,position,sport_number,start_time,time
Q298531,Q976396,playfor,01 July 2013,point guard,1,12 December 2011,
Q298531,Q162954,playfor,2011,point guard; shooting guard,1,2008,
Q36159,Q162990,playfor,2018,power forward; small forward,23,2014,
Q36159,Q162990,playfor,2010,small forward; shooting guard,23,2003,
Q298531,Q169661,playfor,01 July 2014,point guard,1,2013,
Q298531,Q169661,playfor,2008,point guard,1,2002,
Q449245,Q159729,playfor,1989,shooting guard,21,1984,
Q298531,Q131371,playfor,1998,point guard,4,1997,
Q298981,Q161337,playfor,03 January 2014,power forward,15,2010,
Q298981,Q161337,playfor,2009,small forward,15,2004,
Q2566735,Q167253,playfor,1995,point guard,30,1985,
Q190094,Q138089,playfor,2006,shooting guard; point guard,3,1996,
Q190094,Q138089,playfor,2010,shooting guard,3,2009,
Q295364,Q128109,playfor,2008,center; power forward,3,2006,
Q295364,Q161337,playfor,2000,center; power forward,4,1999,
Q2318539,Q167253,playfor,1993,center,00,1987,
Q295364,Q162990,playfor,2009,power forward; center,4,2008,
Q361134,Q976396,playfor,2010,power forward; center,23,2008,
Q295364,Q169165,playfor,1999,power forward; center,30,1996,
Q190094,Q162954,playfor,2008,point guard; shooting guard,3,2006,
Q440121,Q169165,playfor,1977,shooting guard; point guard,21,1975,
Q190094,Q165529,playfor,2009,point guard,3,2009,
Q10516040,Q170649,playfor,,point guard,3,2013,
Q361134,Q162954,playfor,2008,center,23,2002,
Q295364,Q169661,playfor,2006,center,3,2000,
Q295364,Q169661,playfor,2012,center; power forward,6,2009,
Q984367,Q170329,playfor,2002,small forward,5,1996,
Q264393,Q169637,playfor,1983,power forward,36,1982,
Q361134,Q167253,playfor,15 March 2012,center,23,16 February 2010,
Q463200,Q169138,playfor,1994,shooting guard,3,1991,
Q190094,Q169661,playfor,2009,point guard,1,2008,
Q298531,Q170558,playfor,2002,point guard; shooting guard,4,2000,
Q312643,Q131371,playfor,1963,point guard,14,1950,
Q318929,Q169138,playfor,,small forward,,2014,
Q357757,Q170649,playfor,1993,center,53,1982,
Q463200,Q159729,playfor,2003,shooting guard,8,2001,
Q24519,Q165529,playfor,2013,shooting guard,1,2012,
Q36159,Q169138,playfor,2014,power forward; small forward,6,10 July 2010,
Q1033044,Q159729,playfor,20 October 2013,shooting guard,27,01 September 2013,
Q926364,Q161337,playfor,1994,point guard,4,1989,
Q275889,Q121783,playfor,2021,center; power forward,,2020,
Q275183,Q128109,playfor,2014,small forward,9,2004,
Q361134,Q131364,playfor,2002,center; power forward,23,1998,
Q361134,Q131364,playfor,2013,center,23,11 July 2012,
Q180860,Q169165,playfor,1994,center,43,1990,
Q318929,Q170329,playfor,2014,small forward,33,2005,
Q348598,Q169661,playfor,1999,point guard; shooting guard,4,1985,
Q318929,Q976396,playfor,2014,small forward,33,2014,
Q310108,Q169165,playfor,2010,point guard,9,2003,
Q2354822,Q167253,playfor,1997,center,20,1993,
Q310108,Q157376,playfor,2003,point guard,0,2001,
Q739699,Q162954,playfor,1990,small forward,2,1980,
Q361134,Q132880,playfor,1998,center,21,1996,
Q361134,Q132880,playfor,17 July 2013,center; power forward,,10 July 2013,
Q463200,Q159893,playfor,1999,shooting guard,8,1995,
Q933952,Q162990,playfor,1980,shooting guard,34,1971,
Q440121,Q169661,playfor,1975,point guard,21,1966,
Q275183,Q162990,playfor,01 July 2014,small forward,9,07 January 2014,
Q211876,Q159729,playfor,2003,center,50,1989,
Q192955,Q132893,playfor,2004,point guard,13,1998,
Q310108,Q165529,playfor,2012,point guard,10,2012,
Q449245,Q169637,playfor,1993,small forward; shooting guard,21,1989,
Q275889,Q165529,playfor,2018,center,33,2008,
Q361134,Q161345,playfor,11 July 2012,center,29,15 March 2012,
Q190152,Q131371,playfor,1992,power forward; small forward,33,1979,
Q275183,Q169138,playfor,2016,small forward,,2014,
Q264393,Q131371,playfor,1980,center,18,1970,
Q205326,Q128109,playfor,,point guard,1,2008,
Q16236628,Q132880,playfor,,point guard,23,2016,
Q505500,Q131371,playfor,1956,center,22,1950,
Q451780,Q166105,playfor,1976,point guard,1,1970,
Q958710,Q172339,playfor,2004,point guard,,2002,
Q973121,Q976396,playfor,,small forward; shooting guard,24,2019,
Q298981,Q976396,playfor,2015,power forward,8,16 January 2014,
Q310108,Q161337,playfor,09 December 2011,point guard,1,18 December 2010,
Q192955,Q121783,playfor,,point guard,10,11 July 2012,
Q192955,Q164177,playfor,2012,point guard,13,2004,
Q192955,Q164177,playfor,1998,point guard,13,1996,
Q451780,Q131371,playfor,1983,point guard,7,1978,
Q182455,Q138089,playfor,1968,center,13,1965,
Q169452,Q161337,playfor,1996,center,32,June 1992,
Q182455,Q157376,playfor,1965,center,13,1959,
Q352696,Q169138,playfor,12 July 2010,small forward; power forward,30,26 June 2008,
Q352696,Q169138,playfor,01 July 2014,power forward; small forward,8,2013,
Q3780060,Q169165,playfor,,small forward,,,
Q189240,Q170558,playfor,2007,power forward; small forward,21,1995,
Q179051,Q121783,playfor,1989,center,33,1975,
Q209921,Q138089,playfor,1987,small forward,6,1976,
Q1034012,Q169637,playfor,,center; power forward,8,2010,
Q549899,Q138089,playfor,1973,shooting guard; point guard,15,1958,
Q44068,Q132893,playfor,,power forward,41,1998,
Q41421,Q128109,playfor,1998,shooting guard,23; 45,1995,
Q41421,Q128109,playfor,1993,shooting guard,23,1984,
Q169452,Q131371,playfor,2011,center,36,2010,
Q456776,Q169165,playfor,1981,power forward; center,41,1968,
Q381746,Q169637,playfor,01 July 2013,point guard; shooting guard,11,13 March 2012,
Q192707,Q164177,playfor,1996,power forward,34,1992,
Q189240,Q131371,playfor,12 July 2013,power forward; center,5,2007,
Q375767,Q157376,playfor,1991,shooting guard,23,1988,
Q192707,Q138089,playfor,1992,power forward,34; 32,1984,
Q381746,Q132893,playfor,,shooting guard,,23 July 2013,
Q10345662,Q138089,playfor,14 August 2013,small forward; shooting guard,,01 April 2013,
Q297146,Q131364,playfor,2014,center,6,2011,
Q10345662,Q162990,playfor,10 October 2012,small forward,,2012,
Q273256,Q161345,playfor,2001,center,34,1984,
Q298512,Q169661,playfor,1994,point guard,11,1981,
Q930445,Q162990,playfor,2008,point guard; shooting guard,20,2004,
Q310968,Q169138,playfor,2002,center,33,1995,
Q787999,Q169138,playfor,1994,center,4,1988,
Q930445,Q138089,playfor,2004,point guard,20,1998,
Q139376,Q976396,playfor,2009,power forward,50,2008,
Q139376,Q165529,playfor,04 July 2017,power forward,50,17 July 2009,
Q29545,Q572134,playfor,,small forward,7,2019,
Q169452,Q164177,playfor,2009,center,32,2008,
Q10345662,Q157376,playfor,,small forward; shooting guard,7,2014,
Q169452,Q121783,playfor,14 July 2004,center,34,1996,
Q368561,Q159893,playfor,1965,center; power forward,9,1954,
Q179051,Q169637,playfor,1975,center,33,1969,
Q139376,Q131364,playfor,2008,power forward,50,2007,
Q380515,Q131364,playfor,1974,center; power forward,19,1964,
Q352696,Q164177,playfor,2013,power forward; small forward,0,2012,
Q1089188,Q170329,playfor,1992,small forward,45,1986,
Q70486,Q161345,playfor,13 July 2013,power forward,14,25 February 2013,
Q352696,Q170558,playfor,20 July 2012,power forward; small forward,8,12 July 2010,
Q718669,Q162954,playfor,1982,small forward; shooting guard,33,1975,
Q352696,Q165529,playfor,,small forward,6,2014,
Q3194911,Q131371,playfor,,forward-center,41,2013,
Q169452,Q169138,playfor,February 2008,center,32,14 July 2004,
Q169452,Q162990,playfor,2010,center,33,2009,
Q134183,Q121783,playfor,1991,point guard; shooting guard,32,1979,
Q134183,Q121783,playfor,1996,power forward,32,1996,
Q29545,Q180950,playfor,2016,power forward; small forward,35,2008,
Q139376,Q167253,playfor,2007,power forward,50,2001,
Q29545,Q157376,playfor,2019,small forward,35,2016,
Q352110,Q159729,playfor,1985,small forward; shooting guard,44,1974,
Q139376,Q166105,playfor,,power forward,50,04 July 2017,
Q2419803,Q166105,playfor,1969,point guard,10,1961,
Q182455,Q121783,playfor,1973,center,13,1968,
Q928077,Q162954,playfor,13 July 2018,power forward,35,2011,
Q199896,Q170649,playfor,2003,power forward,32,1985,
Q538009,Q121783,playfor,1993,shooting guard,4,1983,
Q297146,Q132893,playfor,2011,center,6,2010,
Q297146,Q132893,playfor,,center,6,2014,
Q1815125,Q976396,playfor,1979,small forward; shooting guard,9,1971,
Q3780060,Q157376,playfor,,power forward,,,
Q41421,Q169165,playfor,2003,small forward; shooting guard,23,2001,
Q310968,Q163480,playfor,1995,center,33,1992,
Q375767,Q166105,playfor,1998,shooting guard,2,1991,
Q10345662,Q167253,playfor,27 October 2012,small forward,,12 October 2012,
Q498348,Q128109,playfor,22 June 2017,small forward,21,2011,
Q203286,Q164177,playfor,1998,point guard,7,1988,
Q192707,Q161345,playfor,2000,power forward,4,1996,
Q348696,Q131364,playfor,1977,point guard,10,1967,
Q270966,Q170329,playfor,2005,shooting guard,31,1987,
Q385436,Q138089,playfor,1995,point guard,3,1993,
Q460116,Q169165,playfor,1996,center,77,1993,
Q317527,Q163480,playfor,2012,power forward,32,2008,
Q193052,Q121783,playfor,01 July 2014,center; power forward,16,01 February 2008,
Q313499,Q164177,playfor,01 July 2013,center; power forward,20,15 August 2012,
Q2477269,Q976396,playfor,2005,small forward; shooting guard; power forward,21,2003,
Q313499,Q157376,playfor,01 July 2014,power forward; center,7,23 July 2013,
Q897000,Q164177,playfor,,shooting guard,3,2012,
Q193020,Q159729,playfor,11 July 2016,center; power forward,21,1997,
Q193052,Q128109,playfor,2016,power forward; center,16,2014,
Q136816,Q157376,playfor,07 July 2019,small forward; shooting guard,9,10 July 2013,
Q361178,Q172339,playfor,1998,small forward,41,1995,
Q641041,Q161337,playfor,2003,point guard,10,1995,
Q926248,Q132880,playfor,,small forward,2,2018,
Q524480,Q169138,playfor,June 2014,power forward; small forward,31,09 December 2011,
Q1022508,Q162990,playfor,01 July 2014,shooting guard,0,2012,
Q348618,Q132893,playfor,,point guard,11,2023,
Q94846,Q166105,playfor,2004,center,21,July 1998,
Q193052,Q159729,playfor,01 March 2019,center; power forward,,2016,
Q31683,Q128109,playfor,,point guard; shooting guard,3,2016,
Q136816,Q138089,playfor,2012,small forward; shooting guard,9; 4,2004,
Q456766,Q157376,playfor,1962,small forward,11,1950,
Q380006,Q172339,playfor,2010,power forward,,2009,
Q375525,Q159893,playfor,01 July 2013,shooting guard,26,16 July 2012,
Q317527,Q164177,playfor,2008,power forward,3,2005,
Q242185,Q131371,playfor,1969,center,6,1956,
Q10345591,Q162954,playfor,,point guard,11,2014,
Q1168929,Q166105,playfor,1990,point guard,30,1987,
Q375525,Q162990,playfor,,shooting guard,26,05 January 2017,
Q2274527,Q169661,playfor,1986,center,54,1980,
Q389975,Q167253,playfor,1976,point guard; shooting guard,45,1970,
Q313499,Q170329,playfor,2008,center; forward,7,2000,
Q136816,Q162954,playfor,01 July 2013,small forward; shooting guard,9,10 August 2012,
Q2477269,Q572134,playfor,2010,power forward; small forward,21,2008,
Q317527,Q159893,playfor,2005,shooting guard,13,2003,
Q1070836,Q138089,playfor,1969,small forward,25,1962,
Q1000791,Q159893,playfor,,shooting guard,12,2012,
Q317527,Q159729,playfor,,center; power forward,33,23 March 2012,
Q193052,Q165529,playfor,2008,center; power forward,16,2001,
Q524480,Q161345,playfor,2011,small forward,31,28 June 2006,
Q524480,Q165529,playfor,2006,small forward; shooting guard,31,2001,
Q921340,Q165529,playfor,,point guard,11,2007,
Q352093,Q159893,playfor,1991,point guard,25,1983,
Q94846,Q121783,playfor,1996,center,12,1989,
Q94846,Q121783,playfor,2005,,,2004,
Q1022508,Q170649,playfor,2012,shooting guard,34,2005,
Q310281,Q128109,playfor,2001,power forward,42,1999,
Q348618,Q131371,playfor,2019,point guard,11,2017,
Q594137,Q161345,playfor,1987,power forward; center,50,1983,
Q434824,Q157376,playfor,1978,small forward,24,1972,
Q434824,Q157376,playfor,1967,small forward,24,1965,
Q297221,Q170558,playfor,2014,center; power forward,42,2008,
Q313481,Q161345,playfor,2009,center,55,2004,
Q201608,Q169661,playfor,1993,power forward,10,1986,
Q311195,Q121783,playfor,1974,shooting guard; point guard,44,1960,
Q313481,Q162954,playfor,1996,center,55,1991,
Q1159084,Q162954,playfor,1985,power forward; center,44,1975,
Q25369,Q121783,playfor,2016,shooting guard,24,1996,
Q25278,Q161337,playfor,2012,power forward; center,12,2004,
Q193637,Q128109,playfor,1998,small forward,33,1987,
Q535559,Q131364,playfor,1987,point guard,2,1983,
Q1661518,Q170649,playfor,1991,power forward; small forward,41,1983,
Q1027716,Q161345,playfor,1983,point guard; shooting guard,23,1970,
Q1101335,Q167253,playfor,1997,center; power forward; small forward,3,1989,
Q297221,Q162990,playfor,2023,power forward; center,0,2014,
Q366505,Q166105,playfor,1969,center; power forward,16,1963,
Q971538,Q121783,playfor,1990,point guard; small forward; shooting guard,21,1978,
Q25278,Q161345,playfor,2016,power forward; center,12,2013,
Q202295,Q161337,playfor,2004,shooting guard,1,2000,
Q371821,Q161345,playfor,2012,center,21,2011,
Q136678,Q161345,playfor,2021,shooting guard,13,2012,
Q301757,Q161345,playfor,2011,point guard,0,2007,
Q301757,Q161345,playfor,2014,point guard,0,05 March 2013,
Q202295,Q159893,playfor,2012,small forward,1,2011,
Q301757,Q166105,playfor,01 March 2013,point guard,3,16 July 2012,
Q460193,Q131371,playfor,1965,power forward; small forward,15,1956,
Q372389,Q167253,playfor,2000,power forward,44,1997,
Q951041,Q169165,playfor,1995,power forward,34,1992,
Q357458,Q121783,playfor,1971,small forward,22,1958,
Q557148,Q169138,playfor,2000,power forward,42,1996,
Q371821,Q138089,playfor,2010,center,1,2001,
Q1626595,Q131364,playfor,1981,point guard; shooting guard,34,1978,
Q295322,Q131364,playfor,2014,small forward,51,16 July 2013,
Q2309877,Q169138,playfor,1998,center,8,1996,
Q371821,Q169637,playfor,01 July 2013,center,21,27 June 2012,
Q46040,Q172339,playfor,2011,point guard,3,2005,
Q201608,Q128109,playfor,1998,power forward,91,1995,
Q311735,Q128109,playfor,2016,center,13,2007,
Q310281,Q138089,playfor,2012,center; power forward,42,2008,
Q369532,Q161345,playfor,2012,point guard,3,2011,
Q1166588,Q170649,playfor,1991,shooting guard,35,1980,
Q337370,Q161345,playfor,2021,point guard,,2020,
Q1027929,Q164177,playfor,1977,shooting guard,,1968,
Q202295,Q169661,playfor,2011,shooting guard,1,2010,
Q201608,Q159729,playfor,1995,power forward,10,1993,
Q136678,Q572134,playfor,2022,shooting guard,,2021,
Q557148,Q172339,playfor,2006,center; power forward,42,2000,
Q301757,Q164177,playfor,2011,point guard,0,2011,
Q310281,Q976396,playfor,2008,power forward,42,2001,
Q202295,Q159729,playfor,2013,small forward; shooting guard,1,2013,
Q295322,Q170329,playfor,2006,small forward,91,2002,
Q371821,Q132893,playfor,2014,center,1,19 July 2013,
Q136678,Q180950,playfor,27 October 2012,shooting guard,13,11 July 2009,
Q295322,Q121783,playfor,11 July 2013,forward,15,July 2009,
Q177928,Q169637,playfor,1989,point guard; shooting guard,4,1979,
Q1455879,Q162990,playfor,1997,point guard,1,1991,
Q193637,Q161345,playfor,1999,small forward,33,1998,
Q371821,Q131364,playfor,,center,,2014,
Q505336,Q131371,playfor,1961,shooting guard,21,1951,
Q372389,Q166105,playfor,1997,power forward,33,1994,
Q25278,Q121783,playfor,2013,center,12,2012,
Q25278,Q121783,playfor,2022,,,2021,
Q25278,Q121783,playfor,2020,,,2019,
Q316179,Q161345,playfor,1982,center,24,1976,
Q313481,Q138089,playfor,2002,center,55,2001,
Q313481,Q159893,playfor,2001,center,55,1996,
Q598416,Q131371,playfor,1979,point guard,10,1969,
Q311735,Q131364,playfor,,center,13,2016,
Q301757,Q162954,playfor,01 July 2014,point guard,0,20 February 2014,
Q310281,Q159893,playfor,,power forward,42,15 July 2013,
Q376586,Q161337,playfor,2012,power forward,33,2009,
Q314185,Q121783,playfor,1954,center,99,1947,
Q310281,Q132893,playfor,01 July 2013,center,42,13 July 2012,
Q46040,Q976396,playfor,,point guard,3,2011,
Q301757,Q128109,playfor,,point guard,0,19 July 2014,
Q316179,Q138089,playfor,1986,center,2,1982,
Q2324397,Q159893,playfor,2004,power forward,44,1995,
Q376586,Q172339,playfor,,power forward,33,2012,
Q371193,Q132893,playfor,2011,,,2006,
Q371193,Q132893,playfor,2020,,,2014,
Q357295,Q121783,playfor,2009,,,2006,
Q355750,Q164177,playfor,,,,,
Q358093,Q161345,playfor,,,,,
Q358093,Q165529,playfor,,,,,
Q358093,Q167253,playfor,,,,,
Q358093,Q180950,playfor,,,,,
Q366085,Q128109,playfor,,,,,
Q366607,Q132880,playfor,,,,,
Q366607,Q159893,playfor,,,,,
Q366607,Q169165,playfor,,,,,
Q366607,Q169637,playfor,,,,,
Q366607,Q170329,playfor,,,,,
Q368573,Q131364,playfor,,,,,
Q368573,Q132880,playfor,,,,,
Q370275,Q132880,playfor,,,,,
Q371224,Q131364,playfor,,,,,
Q371224,Q132893,playfor,,,,,
Q370275,Q165529,playfor,,,,,
Q370275,Q166105,playfor,,,,,
Q371224,Q162954,playfor,,,,,
Q371224,Q163480,playfor,,,,,
Q371224,Q167253,playfor,,,,,
Q380018,Q132880,playfor,,,,,
Q380018,Q165529,playfor,,,,,
Q384545,Q121783,playfor,,,,,
Q384545,Q131364,playfor,,,,,
Q393404,Q159729,playfor,,,,,
Q357295,Q128109,playfor,2013,,,2012,
Q428535,Q131364,playfor,,,,,
Q428535,Q159729,playfor,,,,,
Q428535,Q163480,playfor,,,,,
Q428535,Q180950,playfor,,,,,
Q449245,Q132880,playfor,,,,,
Q449642,Q121783,playfor,,,,,
Q449245,Q169661,playfor,,,,,
Q449642,Q162990,playfor,,,,,
Q459471,Q128109,playfor,,,,,
Q459471,Q131371,playfor,,,,,
Q461407,Q132880,playfor,,,,,
Q461407,Q159729,playfor,,,,,
Q461407,Q169637,playfor,,,,,
Q461407,Q170329,playfor,,,,,
Q461825,Q157376,playfor,,,,,
Q461825,Q159729,playfor,,,,,
Q461825,Q159893,playfor,,,,,
Q461825,Q163480,playfor,,,,,
Q461825,Q169637,playfor,,,,,
Q461825,Q170329,playfor,,,,,
Q461825,Q572134,playfor,,,,,
Q461825,Q976396,playfor,,,,,
Q505500,Q159893,playfor,,,,,
Q507094,Q131364,playfor,,,,,
Q507094,Q162954,playfor,,,,,
Q507094,Q169637,playfor,,,,,
Q514558,Q131371,playfor,,,,,
Q514592,Q169138,playfor,,,,,
Q517309,Q157376,playfor,,,,,
Q517309,Q161337,playfor,,,,,
Q517309,Q163480,playfor,,,,,
Q517309,Q169637,playfor,,,,,
Q517309,Q169661,playfor,,,,,
Q520368,Q161345,playfor,,,,,
Q520368,Q162954,playfor,,,,,
Q520368,Q170329,playfor,,,,,
Q521859,Q132893,playfor,,,,,
Q521859,Q159729,playfor,,,,,
Q521859,Q170329,playfor,,,,,
Q524908,Q121783,playfor,,,,,
Q524908,Q163480,playfor,,,,,
Q524908,Q169661,playfor,,,,,
Q524908,Q172339,playfor,,,,,
Q525613,Q161345,playfor,,,,,
Q525613,Q166105,playfor,,,,,
Q525613,Q169138,playfor,,,,,
Q525613,Q170329,playfor,,,,,
Q526241,Q161345,playfor,,,,,
Q526241,Q162954,playfor,,,,,
Q526241,Q166105,playfor,,,,,
Q526241,Q170558,playfor,,,,,
Q526241,Q172339,playfor,,,,,
Q524908,Q572134,playfor,,,,,
Q517309,Q976396,playfor,,,,,
Q357295,Q157376,playfor,2011,,,2009,
Q444027,Q128109,playfor,2009,,,2004,
Q364321,Q169165,playfor,2010,,,2009,
Q357295,Q163480,playfor,2009,,,2009,
Q360894,Q170649,playfor,2005,,,2002,
Q371193,Q170558,playfor,2014,,,2011,
Q364321,Q167253,playfor,2010,,,2010,
Q358723,Q169165,playfor,2018,,,2013,
Q444027,Q138089,playfor,2012,,,2010,
Q357295,Q976396,playfor,2006,,,2006,
Q358723,Q164177,playfor,2013,,,2010,
Q444027,Q166105,playfor,2010,,,2009,
Q364321,Q159729,playfor,2009,,,2005,
Q357295,Q159893,playfor,2012,,,2011,
Q358723,Q976396,playfor,2019,,,2018,
Q358723,Q161337,playfor,2010,,,August 2007,
Q196185,Q161345,playfor,2020,,0,2019,
Q115509,Q159729,playfor,,,,,
Q127125,Q157376,playfor,,,,,
Q127125,Q161337,playfor,,,,,
Q127125,Q162990,playfor,,,,,
Q127125,Q169165,playfor,,,,,
Q144703,Q132880,playfor,,,,,
Q144703,Q132893,playfor,,,,,
Q144703,Q157376,playfor,,,,,
Q144703,Q159729,playfor,,,,,
Q144703,Q159893,playfor,,,,,
Q144703,Q161345,playfor,,,,,
Q144703,Q162954,playfor,,,,,
Q144703,Q169138,playfor,,,,,
Q161817,Q132893,playfor,,,,,
Q161817,Q159893,playfor,,,,,
Q161817,Q162954,playfor,,,,,
Q161817,Q165529,playfor,,,,,
Q161817,Q166105,playfor,,,,,
Q161817,Q170329,playfor,,,,,
Q196185,Q180950,playfor,2019,,0,2008,
Q181601,Q132880,playfor,,,,,
Q181601,Q138089,playfor,,,,,
Q181601,Q162954,playfor,,,,,
Q181601,Q164177,playfor,,,,,
Q161817,Q976396,playfor,,,,,
Q205326,Q131364,playfor,,,,,
Q220565,Q572134,playfor,2006,,,2003,
Q265692,Q159893,playfor,,,,,
Q265692,Q162990,playfor,,,,,
Q265692,Q169661,playfor,,,,,
Q205326,Q170558,playfor,2019,,,2018,
Q286765,Q161345,playfor,,,,,
Q286765,Q164177,playfor,,,,,
Q286765,Q170329,playfor,,,,,
Q286765,Q170558,playfor,,,,,
Q294788,Q170558,playfor,,,,,
Q294788,Q170649,playfor,,,,,
Q298531,Q131364,playfor,,,,,
Q298531,Q132880,playfor,,,,,
Q294788,Q572134,playfor,,,,,
Q311895,Q161337,playfor,,,,,
Q311895,Q164177,playfor,,,,,
Q311895,Q169661,playfor,,,,,
Q313488,Q164177,playfor,,,,,
Q313488,Q169637,playfor,,,,,
Q316256,Q131364,playfor,,,,,
Q316256,Q131371,playfor,,,,,
Q316256,Q161337,playfor,,,,,
Q316256,Q165529,playfor,,,,,
Q316256,Q169661,playfor,,,,,
Q316256,Q170558,playfor,,,,,
Q319336,Q131364,playfor,,,,,
Q319336,Q131371,playfor,,,,,
Q319336,Q164177,playfor,,,,,
Q319336,Q170558,playfor,,,,,
Q324249,Q163480,playfor,,,,,
Q326355,Q164177,playfor,,,,,
Q319336,Q572134,playfor,,,,,
Q311895,Q976396,playfor,,,,,
Q352319,Q132893,playfor,,,,,
Q352319,Q157376,playfor,,,,,
Q352319,Q162954,playfor,,,,,
Q352319,Q169138,playfor,,,,,
Q352319,Q170329,playfor,,,,,
Q354914,Q128109,playfor,,,,,
Q354914,Q167253,playfor,,,,,
Q298981,Q132880,playfor,2010,,,2009,
Q24200,Q169165,playfor,,,,06 February 2020,
Q350464,Q121783,playfor,2010,,,2009,
Q196185,Q169165,playfor,2021,,4,2020,
Q281499,Q167253,playfor,1980,,,1971,
Q318926,Q121783,playfor,2010,,,2004,
Q298981,Q166105,playfor,2003,,,2000,
Q270981,Q164177,playfor,2010,,,2002,
Q196185,Q128109,playfor,,,,2021,
Q24200,Q161337,playfor,,,,,
Q24200,Q169138,playfor,,,,,
Q32253,Q161337,playfor,,,,,
Q32253,Q169637,playfor,,,,,
Q32253,Q170558,playfor,,,,,
Q24200,Q572134,playfor,,,,,
Q40657,Q161345,playfor,,,,,
Q47073,Q128109,playfor,,,,,
Q60971,Q159893,playfor,,,,,
Q60971,Q169637,playfor,,,,,
Q60971,Q976396,playfor,,,,,
Q318926,Q572134,playfor,2011,,,2010,
Q205326,Q169661,playfor,2021,,,2020,
Q314430,Q976396,playfor,2019,,,2017,
Q270981,Q132893,playfor,2015,,,2015,
Q270981,Q131364,playfor,2015,,,2010,
Q205326,Q162990,playfor,2018,,,2017,
Q298981,Q164177,playfor,2010,,,2010,
Q350464,Q163480,playfor,2009,,,2006,
Q24200,Q170558,playfor,05 February 2020,,,,
Q318926,Q976396,playfor,2014,,,2014,
Q318926,Q131364,playfor,2017,,,2015,
Q298981,Q159729,playfor,2004,,,2003,
Q270981,Q169138,playfor,2016,,,2015,
Q932833,Q572134,playfor,1977,,,,
Q918855,Q572134,playfor,2010,,,2009,
Q724581,Q131364,playfor,,,,,
Q724581,Q132893,playfor,,,,,
Q724581,Q159729,playfor,,,,,
Q724581,Q164177,playfor,,,,,
Q724581,Q170649,playfor,,,,,
Q736301,Q132880,playfor,,,,,
Q736301,Q161337,playfor,,,,,
Q736301,Q163480,playfor,,,,,
Q736815,Q159729,playfor,,,,,
Q736815,Q163480,playfor,,,,,
Q739699,Q132893,playfor,,,,,
Q739699,Q170329,playfor,,,,,
Q724581,Q976396,playfor,,,,,
Q767622,Q166105,playfor,,,,,
Q767622,Q172339,playfor,,,,,
Q781072,Q159729,playfor,,,,,
Q781072,Q159893,playfor,,,,,
Q781072,Q165529,playfor,,,,,
Q781072,Q169661,playfor,,,,,
Q911981,Q132893,playfor,,,,,
Q911981,Q157376,playfor,,,,,
Q911981,Q165529,playfor,,,,,
Q911981,Q169165,playfor,,,,,
Q911981,Q169661,playfor,,,,,
Q911981,Q170558,playfor,,,,,
Q918916,Q131364,playfor,,,,,
Q920081,Q131364,playfor,,,,,
Q918916,Q169661,playfor,,,,,
Q922523,Q170329,playfor,,,,,
Q922523,Q170558,playfor,,,,,
Q926364,Q128109,playfor,,,,,
Q926364,Q138089,playfor,,,,,
Q926364,Q164177,playfor,,,,,
Q926364,Q169165,playfor,,,,,
Q926364,Q169637,playfor,,,,,
Q926364,Q170329,playfor,,,,,
Q928064,Q121783,playfor,,,,,
Q928950,Q132893,playfor,,,,,
Q928064,Q164177,playfor,,,,,
Q928064,Q170558,playfor,,,,,
Q928950,Q167253,playfor,,,,,
Q928950,Q170649,playfor,,,,,
Q930865,Q157376,playfor,,,,,
Q930865,Q159729,playfor,,,,,
Q930865,Q162954,playfor,,,,,
Q930865,Q162990,playfor,,,,,
Q930865,Q169637,playfor,,,,,
Q938769,Q164177,playfor,,,,,
Q941813,Q159893,playfor,,,,,
Q948037,Q131371,playfor,,,,,
Q948453,Q128109,playfor,,,,,
Q948453,Q131371,playfor,,,,,
Q948453,Q132880,playfor,,,,,
Q948453,Q132893,playfor,,,,,
Q948037,Q161337,playfor,,,,,
Q948037,Q162954,playfor,,,,,
Q948037,Q163480,playfor,,,,,
Q948037,Q167253,playfor,,,,,
Q948037,Q169637,playfor,,,,,
Q948037,Q172339,playfor,,,,,
Q948453,Q161345,playfor,,,,,
Q948453,Q169138,playfor,,,,,
Q948453,Q169165,playfor,,,,,
Q948453,Q169637,playfor,,,,,
Q948453,Q169661,playfor,,,,,
Q948453,Q170558,playfor,,,,,
Q948453,Q172339,playfor,,,,,
Q953338,Q131364,playfor,,,,,
Q953338,Q132880,playfor,,,,,
Q953338,Q132893,playfor,,,,,
Q953338,Q159729,playfor,,,,,
Q953338,Q161345,playfor,,,,,
Q953338,Q169637,playfor,,,,,
Q953338,Q170649,playfor,,,,,
Q953338,Q180950,playfor,,,,,
Q928064,Q976396,playfor,,,,,
Q961491,Q164177,playfor,,,,,
Q963613,Q131364,playfor,,,,,
Q962929,Q162990,playfor,,,,,
Q963613,Q159893,playfor,,,,,
Q964976,Q121783,playfor,,,,,
Q963613,Q169661,playfor,,,,,
Q948037,Q976396,playfor,,,,,
Q953041,Q976396,playfor,,,,,
Q953338,Q976396,playfor,,,,,
Q942651,Q2354728,playfor,,,,,
Q953837,Q169637,playfor,2006,,,2005,
Q953837,Q131371,playfor,2005,,,2003,
Q944029,Q162954,playfor,1988,,,1986,
Q953837,Q157376,playfor,2003,,,2002,
Q953837,Q162990,playfor,2005,,,2005,
Q918855,Q132880,playfor,2003,,,2001,
